"","pais","hospitales_psiquiatricos","unidades_de_salud ","instalaciones_de_salud"
"1","Afghanistan",0.003,0.012,0.006
"2","Albania",0.068,0.068,0.41
"3","Algeria",0.048,0.068,0.048
"4","Angola",0.011,NA,NA
"5","Antigua and Barbuda",1.001,NA,NA
"6","Argentina",0.937,1.071,1.72
"7","Armenia",NA,0.069,1.371
"8","Azerbaijan",0.114,0.021,0.156
"9","Bangladesh",0.001,0.035,0.055
"10","Belarus",0.2,0.063,0.116
"11","Belize",NA,1.948,2.227
"12","Bhutan",NA,0.127,3.556
"13","Bolivia (Plurinational State of)",0.075,0.009,0.009
"14","Brazil",0.069,0.115,1.491
"15","Brunei Darussalam",NA,0.479,2.634
"16","Bulgaria",0.167,0.307,0.307
"17","Burkina Faso",NA,0.287,NA
"18","Cambodia",NA,0.006,1.134
"19","Chad",NA,0.007,0.007
"20","Chile",0.023,0.175,0.839
"21","Colombia",1.988,0.222,0.292
"22","Congo",NA,0.04,0.02
"23","Cook Islands",NA,NA,5.731
"24","Costa Rica",0.042,0.042,1.706
"25","Côte d'Ivoire",0.009,0.013,0.017
"26","Croatia",0.165,0.519,3.093
"27","Cuba",0.166,0.148,2.932
"28","Dominican Republic",NA,0.076,1.748
"29","Ecuador",0.025,0.173,0.242
"30","Egypt",0.019,NA,0.031
"31","El Salvador",0.032,0.253,0.729
"32","Eritrea",0.021,0.206,0.227
"33","Estonia",0.152,0.684,14.82
"34","Fiji",0.112,0.336,3.363
"35","Gabon",0.052,NA,0.052
"36","Georgia",0.228,0.076,0.683
"37","Ghana",0.011,1.095,2.378
"38","Greece",0.027,0.33,1.346
"39","Grenada",0.936,0.936,10.297
"40","Guatemala",0.006,0.006,1.434
"41","Guinea",NA,0.008,NA
"42","Guinea-Bissau",0.056,NA,0.056
"43","Guyana",0.13,0.13,0.26
"44","Haiti",0.019,0.009,0.131
"45","Hungary",NA,2.647,8.269
"46","Iceland",0.303,4.542,3.028
"47","India",0.01,0.03,0.176
"48","Indonesia",0.019,0.104,NA
"49","Ireland",0.617,0.617,3.83
"50","Israel",0.161,0.136,NA
"51","Japan",8.314,0.45,7.223
"52","Jordan",0.055,0.033,0.513
"53","Kenya",0.002,0.032,0.068
"54","Kyrgyzstan",0.085,0.136,1.159
"55","Liberia",0.022,0.067,0.622
"56","Libya",0.032,NA,NA
"57","Lithuania",0.136,0.682,3.922
"58","Madagascar",0.021,0.045,NA
"59","Malaysia",0.013,0.153,0.316
"60","Mali",NA,0.006,NA
"61","Mexico",0.029,0.006,0.126
"62","Monaco",NA,2.61,5.221
"63","Mongolia",0.034,0.47,0.067
"64","Montenegro",0.318,0.318,NA
"65","Morocco",0.032,0.08,0.371
"66","Mozambique",0.007,0.039,0.768
"67","Myanmar",0.004,0.042,0.073
"68","Namibia",NA,0.082,0.082
"69","Nauru",NA,NA,8.881
"70","Nepal",0.021,0.063,0.112
"71","New Zealand",NA,0.607,NA
"72","Niger",NA,0.033,1.685
"73","Norway",0.577,0.481,1.308
"74","Pakistan",0.006,0.422,2.3
"75","Panama",0.025,0.277,2.696
"76","Paraguay",0.03,0.03,1.416
"77","Peru",0.01,0.057,0.166
"78","Philippines",0.001,0.083,0.211
"79","Poland",0.125,0.261,3.207
"80","Portugal",0.029,0.288,0.701
"81","Qatar",0.038,0.038,0.344
"82","Republic of Korea",0.358,0.389,1.789
"83","Romania",0.171,0.392,0.911
"84","Rwanda",0.017,0.396,0.404
"85","Saint Lucia",0.564,NA,19.751
"86","Samoa",0.516,0.516,12.387
"87","Sao Tome and Principe",NA,0.511,0.511
"88","Saudi Arabia",0.079,0.013,0.507
"89","Senegal",0.007,0.027,0.04
"90","Seychelles",1.067,NA,2.134
"91","Singapore",0.018,0.072,0.217
"92","Slovenia",0.241,0.048,5.832
"93","South Africa",0.116,0.072,0.11
"94","South Sudan",NA,0.008,0.008
"95","Syrian Arab Republic",0.016,0.016,2.263
"96","Tajikistan",0.035,0.129,0.164
"97","Thailand",0.028,0.151,1.302
"98","Timor-Leste",NA,0.081,6.527
"99","Togo",0.013,0.108,0.04
"100","Tonga",0,0.94,0.94
"101","Turkey",0.011,0.455,0.19
"102","Uganda",0.002,0.032,0.942
"103","Ukraine",0.139,0.052,0.049
"104","United Arab Emirates",0.011,0.055,0.524
"105","United States of America",0.189,0.349,0.373
"106","Uruguay",0.321,0.699,NA
"107","Uzbekistan",0.081,0.013,0.084
"108","Vanuatu",NA,0.756,2.645
"109","Viet Nam",0.043,0.017,0.009
"110","Yemen",0.033,0.026,0.063
"111","Zambia",0.062,0.062,0.205
"112","Zimbabwe",0.025,0.025,0.057
