"","pais","psiquiatras","nurses","trabajadores_sociales","psicologos"
"1","Afghanistan",0.231,0.098,NA,0.296
"2","Albania",1.471,6.876,1.06,1.231
"3","Angola",0.057,0.66,0.022,0.179
"4","Argentina",21.705,NA,NA,222.572
"5","Armenia",3.84,11.245,0.274,0.788
"6","Azerbaijan",3.452,6.717,0.114,1.165
"7","Bangladesh",0.13,0.873,NA,0.124
"8","Belarus",13.504,NA,NA,5.514
"9","Belize",1.392,3.34,NA,1.113
"10","Brazil",3.165,34.948,6.608,12.368
"11","Brunei Darussalam",1.197,15.088,0.239,5.029
"12","Bulgaria",7.203,17.736,0.78,1.867
"13","Burkina Faso",0.039,0.635,0.011,0.022
"14","Cambodia",0.387,0.277,NA,7.089
"15","Congo",0.08,0.5,0.02,0.02
"16","Cook Islands",5.731,11.462,17.193,11.462
"17","Costa Rica",3.931,5.699,76.957,142.018
"18","Croatia",11.095,41.856,1.298,4.367
"19","Cuba",9.056,8.899,1.335,31.061
"20","Dominican Republic",2.28,NA,0.294,7.598
"21","Ecuador",0.458,0.056,0.019,7.662
"22","Egypt",1.6,4.799,0.448,0.256
"23","El Salvador",0.887,NA,0.301,2.075
"24","Estonia",16.188,23.484,0.532,6.46
"25","Fiji",0.224,1.457,0.56,0.56
"26","Gabon",0.259,0.518,0.104,0.777
"27","Georgia",6.706,5.922,NA,2.328
"28","Ghana",0.058,7.733,NA,0.065
"29","Greece",5.803,12.748,3.459,8.781
"30","Guatemala",0.492,1.071,0.006,46.147
"31","Guinea",0.025,NA,0.008,0.008
"32","Guyana",0.911,NA,NA,0
"33","Haiti",0.075,0.233,0.373,0.56
"34","Hungary",11.079,33.739,NA,2.484
"35","India",0.292,0.796,0.065,0.069
"36","Indonesia",0.31,2.518,NA,0.175
"37","Israel",9.87,NA,NA,88.089
"38","Japan",11.867,83.805,8.328,3.037
"39","Jordan",1.125,3.297,0.218,1.266
"40","Kyrgyzstan",1.688,7.365,NA,0.409
"41","Lithuania",18.452,49.763,NA,15.86
"42","Madagascar",0.058,0.314,0.05,0.062
"43","Malaysia",1.048,6.838,NA,1.029
"44","Mali",0.029,0.092,NA,0.011
"45","Mexico",0.207,2.239,0.53,3.459
"46","Monaco",31.326,83.536,102.592,53.515
"47","Mongolia",4.031,4.199,0.101,0.101
"48","Morocco",0.839,2.451,0.646,0.575
"49","Mozambique",0.046,NA,0.018,0.389
"50","Namibia",0.371,0.907,0.206,1.443
"51","Nepal",0.356,0.558,NA,0.523
"52","Niger",0.014,0.126,0.028,0.019
"53","Norway",48.04,NA,NA,73.522
"54","Panama",4.031,3.452,9.221,7.331
"55","Peru",2.948,5.995,NA,9.507
"56","Philippines",0.518,NA,NA,0.885
"57","Poland",24.176,30.916,NA,16.346
"58","Qatar",2.712,9.933,0.115,1.413
"59","Republic of Korea",5.793,13.662,8.404,1.591
"60","Romania",5.665,18.71,0.503,1.479
"61","Rwanda",0.06,1.376,0.172,0.387
"62","Sao Tome and Principe",0.511,4.602,0.511,3.068
"63","Saudi Arabia",1.321,10.66,3.955,2.034
"64","Senegal",0.2,0.267,0.067,0.02
"65","Seychelles",2.134,8.534,NA,3.2
"66","Slovenia",11.953,36.727,1.976,9.302
"67","South Sudan",0.025,0.017,NA,0.261
"68","Suriname",1.265,16.63,0.362,0.542
"69","Syrian Arab Republic",0.368,1.068,0.801,1.068
"70","Thailand",0.721,7.418,0.836,1.749
"71","Timor-Leste",0.081,1.37,1.612,0.081
"72","Togo",0.054,0.27,0.054,0.404
"73","Tonga",2.821,16.923,NA,1.88
"74","Turkey",1.637,150.251,1.643,2.537
"75","Uganda",0.082,2.242,0.037,0.037
"76","United Arab Emirates",1.649,4.37,0.36,0.765
"77","United States of America",10.542,4.283,60.338,29.864
"78","Uzbekistan",2.612,9.214,NA,0.09
"79","Vanuatu",0.378,4.535,0.378,0.756
"80","Yemen",0.201,0.323,0.056,0.409
"81","Zambia",0.056,1.429,0.019,0.031
"82","Zimbabwe",0.095,3.486,0.634,0.057
