"","pais","sexo","rango_edad","tasa_suicidio"
"1","Afghanistan"," Both sexes","sobre_80",42
"2","Afghanistan"," Male","sobre_80",70.4
"3","Afghanistan"," Female","sobre_80",20.1
"4","Albania"," Both sexes","sobre_80",16.3
"5","Albania"," Male","sobre_80",23.2
"6","Albania"," Female","sobre_80",10.9
"7","Algeria"," Both sexes","sobre_80",9.4
"8","Algeria"," Male","sobre_80",12.7
"9","Algeria"," Female","sobre_80",6.4
"10","Angola"," Both sexes","sobre_80",63.5
"11","Angola"," Male","sobre_80",123.2
"12","Angola"," Female","sobre_80",25.3
"13","Antigua and Barbuda"," Both sexes","sobre_80",0
"14","Antigua and Barbuda"," Male","sobre_80",0
"15","Antigua and Barbuda"," Female","sobre_80",0
"16","Argentina"," Both sexes","sobre_80",15.8
"17","Argentina"," Male","sobre_80",41.6
"18","Argentina"," Female","sobre_80",4.1
"19","Armenia"," Both sexes","sobre_80",27.9
"20","Armenia"," Male","sobre_80",41
"21","Armenia"," Female","sobre_80",20.2
"22","Australia"," Both sexes","sobre_80",28.8
"23","Australia"," Male","sobre_80",41.2
"24","Australia"," Female","sobre_80",20.1
"25","Austria"," Both sexes","sobre_80",40.9
"26","Austria"," Male","sobre_80",91.8
"27","Austria"," Female","sobre_80",12.7
"28","Azerbaijan"," Both sexes","sobre_80",7.7
"29","Azerbaijan"," Male","sobre_80",12.5
"30","Azerbaijan"," Female","sobre_80",5
"31","Bahamas"," Both sexes","sobre_80",4.3
"32","Bahamas"," Male","sobre_80",8.1
"33","Bahamas"," Female","sobre_80",2.4
"34","Bahrain"," Both sexes","sobre_80",25.2
"35","Bahrain"," Male","sobre_80",40.8
"36","Bahrain"," Female","sobre_80",11.5
"37","Bangladesh"," Both sexes","sobre_80",30
"38","Bangladesh"," Male","sobre_80",51.4
"39","Bangladesh"," Female","sobre_80",10.2
"40","Barbados"," Both sexes","sobre_80",9.7
"41","Barbados"," Male","sobre_80",26.6
"42","Barbados"," Female","sobre_80",0
"43","Belarus"," Both sexes","sobre_80",40.6
"44","Belarus"," Male","sobre_80",96.1
"45","Belarus"," Female","sobre_80",22.9
"46","Belgium"," Both sexes","sobre_80",53.4
"47","Belgium"," Male","sobre_80",71.8
"48","Belgium"," Female","sobre_80",42.9
"49","Belize"," Both sexes","sobre_80",22.4
